state_code,state,lga_name,serviceProviders,CondomDistribution,FamilyLifeAndHivAidsEducationFlheSexualityEducation,GenderAndHumanRightsGhr,HarmReductionMedicationAssistedTreatmentMat,HarmReductionNeedleAndSyringeExchange,HivSelfTestingHivst,HivTestingServicesHts,MentalHealthServices,Pre.ExposureProphylaxisPrep,SocialAndBehaviourChangeCommunicationSbcc,StiScreeningAndTreatment,TechnicalAssistanceTa,agywInSchool,agywOutOfSchool,abymInSchool,abymOutOfSchool,childrenLivingWithHIV,generalPopulation,hivExposedInfants,idp,kpFsw,kpMsm,kpPeopleInEnclosedSettings,kpPwid,kpTransgender,ovc,parents,peopleLivingWithDisabilities,plhiv,serodiscordantCouples,teachers,faithLeaders,fishermen,pastoralists,transportWorkers,community,school,facility,PreExposureProphylaxisPrep
AD,Adamawa,Jada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Lamurde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Madagali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Maiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Mayo-Belwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Michika,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Mubi North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Mubi South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Numan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Shelleng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Song,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Toungo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Yola North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Adamawa,Yola South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Abak,4,4,4,4,3,4,4,4,4,0,4,4,4,1,1,1,1,1,1,1,0,2,0,0,2,0,2,1,0,1,0,0,1,0,0,1,4,0,3,4
AK,Akwa Ibom,Eastern Obolo,3,3,3,3,3,3,3,3,3,9,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Eket,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Esit Eket,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Essien Udim,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Etim Ekpo,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Etinan,5,5,5,5,3,5,4,5,5,0,5,5,5,1,2,1,2,3,2,2,1,3,1,1,3,1,4,2,1,2,1,2,1,1,1,2,5,1,3,5
AK,Akwa Ibom,Ibeno,3,3,3,3,3,3,3,3,3,6,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Ibesikpo Asutan,4,4,4,4,3,4,4,4,4,0,4,4,4,1,1,1,1,2,1,2,0,2,0,0,2,0,3,1,0,1,0,0,1,0,0,1,4,0,3,4
AK,Akwa Ibom,Ibiono Ibom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Ika,2,2,2,2,2,2,2,2,2,9,2,2,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2
AK,Akwa Ibom,Ikono,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2
AK,Akwa Ibom,Ikot Abasi,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Ikot Ekpene,4,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,4,0,2,4
AK,Akwa Ibom,Ini,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Itu,4,4,4,4,3,4,4,4,4,0,4,4,4,1,2,1,2,1,2,0,0,2,0,1,1,0,2,2,1,2,0,2,1,1,0,2,4,1,2,4
AK,Akwa Ibom,Mbo,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Mkpat Enin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Nsit Atai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Nsit Ibom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Nsit Ubium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Obot Akara,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Okobo,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Onna,4,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,4,0,1,4
AK,Akwa Ibom,Oron,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3
AK,Akwa Ibom,Oruk Anam,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Udung Uko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Ukanafun,3,3,3,3,3,3,3,3,3,0,3,3,3,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Uruan,3,3,3,3,3,3,3,3,3,5,3,3,3,0,0,0,0,1,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,2,3
AK,Akwa Ibom,Urue Offong/Oruko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Akwa Ibom,Uyo,7,6,7,7,4,7,6,7,7,0,6,7,7,1,2,1,2,3,3,2,0,2,0,0,2,0,4,2,0,2,0,1,1,0,0,2,6,0,3,6
AN,Anambra,Aguata,8,8,8,8,4,8,7,8,8,0,7,8,8,4,4,4,3,3,3,1,1,5,4,3,3,5,1,2,3,3,2,1,2,0,1,2,8,3,6,6
AN,Anambra,Anambra East,4,4,4,4,3,4,4,4,4,0,4,4,4,1,1,1,0,2,2,1,1,2,1,1,1,2,0,1,0,1,1,0,0,0,0,1,4,1,2,4
AN,Anambra,Anambra West,4,4,4,4,3,4,4,4,4,0,4,4,4,1,1,1,0,2,2,1,1,2,1,1,1,2,0,1,0,1,1,0,0,0,0,1,4,1,2,4
AN,Anambra,Anaocha,5,5,5,5,3,5,5,5,5,0,5,5,5,2,2,2,1,3,3,1,1,3,2,2,2,3,1,2,1,2,2,0,1,0,0,2,5,1,3,4
AN,Anambra,Awka North,6,6,6,6,3,6,5,6,6,0,4,6,6,1,1,1,0,3,3,2,1,3,1,1,1,2,0,2,1,2,2,0,0,0,0,1,5,1,4,5
AN,Anambra,Awka South,13,11,13,13,6,13,10,13,13,0,9,13,13,6,6,6,5,8,7,6,4,8,5,4,6,5,5,6,5,7,5,2,3,1,1,5,12,2,7,8
AN,Anambra,Ayamelum,4,4,4,4,3,4,4,4,4,0,4,4,4,1,1,1,0,2,2,1,1,2,1,1,1,2,0,1,0,1,1,0,0,0,0,1,4,1,2,4
AN,Anambra,Dunukofia,6,6,6,6,3,6,5,6,6,9,5,6,6,2,2,2,1,4,4,2,1,3,2,2,2,3,1,3,1,3,3,0,1,0,0,2,5,1,4,4
AN,Anambra,Ekwusigo,4,4,4,4,3,4,4,4,4,0,4,4,4,1,1,1,0,2,2,1,1,2,1,1,1,2,0,1,0,1,1,0,0,0,0,1,4,1,2,4
AN,Anambra,Idemili North,6,6,6,6,4,6,6,6,6,0,6,6,6,3,3,3,2,3,3,1,1,4,3,3,3,4,1,2,2,2,2,1,2,0,1,2,6,2,4,5
AN,Anambra,Idemili South,6,6,6,6,4,6,6,6,6,0,6,6,6,3,3,3,2,3,3,1,1,4,3,3,3,4,1,2,2,2,2,1,2,0,1,2,6,2,4,5
AN,Anambra,Ihiala,7,7,7,7,3,7,5,7,7,0,6,7,7,3,3,3,2,4,4,2,1,3,3,2,2,4,1,3,1,4,3,0,1,0,0,2,6,2,5,4
AN,Anambra,Njikoka,7,7,7,7,3,7,6,7,7,0,6,7,7,2,2,2,1,4,4,2,1,3,3,2,2,3,1,3,1,3,3,0,1,0,0,2,6,1,5,5
AN,Anambra,Nnewi North,6,6,6,6,4,6,6,6,6,6,5,6,6,3,3,3,2,4,4,2,1,4,3,3,3,3,2,3,1,3,3,1,1,0,0,3,6,2,4,4
AN,Anambra,Nnewi South,5,5,5,5,4,5,5,5,5,0,5,5,5,2,2,2,1,2,2,1,1,3,2,2,2,3,0,1,1,1,1,1,1,0,1,1,5,2,3,5
AN,Anambra,Ogbaru,6,6,6,6,3,6,5,6,6,0,4,6,6,1,1,1,0,3,3,2,1,3,1,1,1,2,0,2,1,2,2,0,0,0,0,1,5,1,4,5
AN,Anambra,Onitsha North,5,5,5,5,3,5,5,5,5,9,5,5,5,2,2,2,1,3,3,1,1,3,2,2,2,3,1,2,1,2,2,0,1,0,0,2,5,1,3,4
AN,Anambra,Onitsha South,5,5,5,5,3,5,5,5,5,0,5,5,5,2,2,2,1,3,3,1,1,3,2,2,2,3,1,2,1,2,2,0,1,0,0,2,5,1,3,4
AN,Anambra,Orumba North,7,7,7,7,3,7,5,7,7,0,6,7,7,3,3,3,2,4,4,2,1,3,3,2,2,4,1,3,1,4,3,0,1,0,0,2,6,2,5,4
AN,Anambra,Orumba South,5,5,5,5,3,5,5,5,5,0,5,5,5,2,2,2,1,3,3,1,1,3,2,2,2,3,1,2,1,2,2,0,1,0,0,2,5,1,3,4
AN,Anambra,Oyi,6,6,6,6,3,6,6,6,6,0,5,6,6,2,2,2,1,3,3,1,1,4,2,2,2,3,1,2,2,2,2,0,1,0,0,2,6,1,4,5
BA,Bauchi,Alkaleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Bauchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Bogoro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Dambam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Darazo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Dass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Gamawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Ganjuwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Giade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Itas/Gadau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Jama'Are,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Katagum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Kirfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Misau,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Ningi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Shira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Tafawa-Balewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Toro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Warji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bauchi,Zaki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Brass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Ekeremor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Kolokuma/Opokuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Nembe,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Ogbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Sagbama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Southern Ijaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Bayelsa,Yenegoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Agatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Apa,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Ado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Buruku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Gboko,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Guma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Gwer East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Gwer West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Katsina-Ala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Konshisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Kwande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Logo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Makurdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Obi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Ogbadibo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Ohimini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Oju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Okpokwu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Oturkpo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Benue,Tarka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
